AcX,AcY,AcZ,GyX,GyY,GyZ,bpm,label
-12160,-5696,-132,28308,-1817,-9363,67.8,
-26440,-8848,-868,-11522,-15930,4335,66.0,
-21408,-6372,-3388,5648,-9750,-14625,76.1,
-18844,-5712,-5744,7577,2723,-21466,58.9,
-10580,-6696,-2484,9853,11382,-11040,68.8,
-11668,-6400,-1240,19043,17353,-4017,70.5,
-15760,-8388,4620,32767,19127,-1930,66.8,
-19424,2324,1732,-1333,8412,8959,64.3,
-15808,-1608,2632,-14588,-244,5518,64.4,
-14368,-204,4892,2381,2656,5574,64.6,
-13344,-1252,2816,11242,9022,4680,74.5,
-14008,-2084,3504,12625,8304,3514,72.5,
-13028,-2084,6400,12915,2543,-2042,67.0,
-15752,-4292,2236,-8871,-8691,-2375,63.3,
-12416,-8712,4848,1573,-10496,-8625,70.1,
-24224,-5716,-832,17898,-11675,-14404,63.8,
-16868,-3504,1976,-6852,-17263,-16301,66.6,
-14096,-5240,916,-1997,-11648,-15465,66.6,
-10492,-5320,1628,-4479,-2779,-2398,62.8,
-17196,-5216,740,-4269,4200,14316,62.1,
-13744,-7556,2864,-16931,5430,29820,64.8,
-22136,-10140,3168,576,10126,25404,62.3,
-14752,-6316,6344,-3943,9307,6286,69.1,
-10520,-6144,10420,3989,4256,4255,67.8,
-14496,-9772,9480,12544,-2851,-4403,64.5,
-16708,-1944,1696,990,-22191,-15126,70.6,
-22816,-9504,2572,-21185,-22043,-21489,70.9,
-14744,-7728,2472,4470,-7934,-21688,67.4,
-11928,-2380,892,7471,-4831,-10490,66.4,
-11396,-3096,2056,1441,-89,4134,67.7,
-18028,-5108,1320,-17635,3253,26623,69.3,
-18504,-12700,6104,80,15061,27181,67.6,
-13100,-6256,4244,21215,24331,12859,67.9,
-15580,-9140,8900,30993,22870,-14067,63.8,
-11552,12060,128,137,-3596,-13823,64.5,
-16460,-12032,4816,32685,-4966,7961,60.5,
-20712,-8356,-4536,-31269,-25456,20230,69.2,
